#Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
430	912.840	10.154	912.669
431	912.870	10.545	912.702
432	912.900	11.028	912.731
433	912.930	11.282	912.760
434	912.960	11.232	912.790
435	912.990	11.259	912.825
436	913.020	11.270	912.851
437	913.050	11.202	912.880
438	913.080	10.914	912.910
439	913.110	10.446	912.941
440	913.140	10.106	912.971
441	913.170	9.583	912.999
442	913.200	8.928	913.032
443	913.230	8.288	913.061
444	913.260	7.652	913.094
445	913.290	6.962	913.122
446	913.320	6.206	913.150
447	913.350	5.412	913.178
448	913.380	4.840	913.213
449	913.410	4.215	913.239
450	913.440	3.474	913.270
451	913.470	2.681	913.300
452	913.500	1.890	913.330
453	913.530	0.999	913.363
454	913.560	0.191	913.390
455	913.590	-0.559	913.421
456	913.620	-1.472	913.453
457	913.650	-2.146	913.480
458	913.680	-3.112	913.510
459	913.710	-4.178	913.540
460	913.740	-5.153	913.572
461	913.770	-6.144	913.600
462	913.800	-6.768	913.630
463	913.830	-7.199	913.659
464	913.860	-7.630	913.693
465	913.890	-8.034	913.721
466	913.920	-8.439	913.754
467	913.950	-8.864	913.782
468	913.980	-9.243	913.811
469	914.010	-9.232	913.846
470	914.040	-9.533	913.872
471	914.070	-9.481	913.900
472	914.100	-9.418	913.930
473	914.130	-9.298	913.962
474	914.160	-9.365	913.993
475	914.190	-9.491	914.021
476	914.220	-9.512	914.049
477	914.250	-9.517	914.082
478	914.280	-9.489	914.110
479	914.310	-9.383	914.140
480	914.340	-9.014	914.174
481	914.370	-8.589	914.202
482	914.400	-8.227	914.233
483	914.430	-7.858	914.261
484	914.460	-7.344	914.290
485	914.490	-6.689	914.322
486	914.520	-6.028	914.356
487	914.550	-5.469	914.383
488	914.580	-4.900	914.413
489	914.610	-4.113	914.442
490	914.640	-3.356	914.473
491	914.670	-2.868	914.498
492	914.700	-2.383	914.531
493	914.730	-1.920	914.560
494	914.760	-1.520	914.593
495	914.790	-1.096	914.624
496	914.820	-0.655	914.652
497	914.850	0.063	914.681
498	914.880	0.856	914.710
499	914.910	1.395	914.743
500	914.940	1.791	914.771
501	914.970	2.133	914.799
502	915.000	2.409	914.830
503	915.030	2.818	914.863
504	915.060	3.377	914.894
505	915.090	3.976	914.923
506	915.120	4.819	914.951
507	915.150	5.253	914.983
508	915.180	5.665	915.012
509	915.210	6.084	915.040
510	915.240	6.372	915.070
511	915.270	6.346	915.100
512	915.300	6.775	915.130
513	915.330	7.518	915.160
514	915.360	8.146	915.191
515	915.390	8.183	915.224
516	915.420	8.159	915.252
517	915.450	7.943	915.281
518	915.480	7.683	915.312
519	915.510	7.442	915.339
520	915.540	7.611	915.371
521	915.570	8.054	915.400
522	915.600	8.331	915.429
523	915.630	8.381	915.460
524	915.660	8.238	915.489
525	915.690	8.010	915.522
526	915.720	7.515	915.554
527	915.750	7.064	915.582
528	915.780	7.070	915.609
529	915.810	7.089	915.642
530	915.840	6.939	915.670
531	915.870	6.481	915.704
532	915.900	6.038	915.730
533	915.930	5.123	915.760
534	915.960	3.986	915.790
535	915.990	2.960	915.821
536	916.020	2.543	915.849
537	916.050	2.412	915.883
538	916.080	2.140	915.912
539	916.110	1.610	915.941
540	916.140	1.161	915.971
541	916.170	0.367	915.999
542	916.200	-0.529	916.032
543	916.230	-1.490	916.061
544	916.260	-1.772	916.091
545	916.290	-1.663	916.124
546	916.320	-1.839	916.155
547	916.350	-2.224	916.177
548	916.380	-2.536	916.215
549	916.410	-3.229	916.238
550	916.440	-3.990	916.271
551	916.470	-4.655	916.303
552	916.500	-5.098	916.332
553	916.530	-5.171	916.362
554	916.560	-5.038	916.394
555	916.590	-5.175	916.422
556	916.620	-5.466	916.452
557	916.650	-5.814	916.485
558	916.680	-6.215	916.509
559	916.710	-6.618	916.541
560	916.740	-7.024	916.570
561	916.770	-6.988	916.603
562	916.800	-6.719	916.629
563	916.830	-6.507	916.661
564	916.860	-6.472	916.694
565	916.890	-6.794	916.722
566	916.920	-7.168	916.751
567	916.950	-7.377	916.782
568	916.980	-7.544	916.810
569	917.010	-7.566	916.839
570	917.040	-7.310	916.867
571	917.070	-6.884	916.900
572	917.100	-6.727	916.930
573	917.130	-6.961	916.960
574	917.160	-7.027	916.993
575	917.190	-6.958	917.022
576	917.220	-6.935	917.053
577	917.250	-6.790	917.075
578	917.280	-6.421	917.109
579	917.310	-5.776	917.138
580	917.340	-5.322	917.174
581	917.370	-5.190	917.202
582	917.400	-5.059	917.231
583	917.430	-4.605	917.263
584	917.460	-4.127	917.288
585	917.490	-3.559	917.322
586	917.520	-2.923	917.353
587	917.550	-1.907	917.386
588	917.580	-1.015	917.411
589	917.610	-0.433	917.442
590	917.640	0.129	917.472
591	917.670	0.923	917.500
592	917.700	1.652	917.531
593	917.730	2.353	917.565
594	917.760	3.160	917.589
595	917.790	4.165	917.621
596	917.820	4.986	917.648
597	917.850	5.715	917.681
598	917.880	6.120	917.713
599	917.910	6.652	917.740
600	917.940	7.193	917.770
601	917.970	7.868	917.801
602	918.000	8.339	917.830
603	918.030	8.949	917.859
604	918.060	9.476	917.891
605	918.090	9.917	917.923
606	918.120	10.049	917.946
607	918.150	10.108	917.985
608	918.180	10.336	918.010
609	918.210	10.608	918.038
610	918.240	10.624	918.072
611	918.270	10.434	918.102
612	918.300	10.341	918.132
613	918.330	10.192	918.160
614	918.360	9.731	918.190
615	918.390	9.039	918.221
616	918.420	8.550	918.249
617	918.450	8.089	918.284
618	918.480	7.586	918.312
619	918.510	6.895	918.340
620	918.540	6.192	918.370
621	918.570	5.603	918.402
622	918.600	4.777	918.434
623	918.630	3.863	918.460
624	918.660	3.065	918.491
625	918.690	2.451	918.519
626	918.720	1.807	918.547
627	918.750	0.974	918.582
628	918.780	0.350	918.612
629	918.810	-0.047	918.639
630	918.840	-0.552	918.673
631	918.870	-1.223	918.700
632	918.900	-1.953	918.734
633	918.930	-2.511	918.764
634	918.960	-2.953	918.794
635	918.990	-3.392	918.821
636	919.020	-3.830	918.849
637	919.050	-4.116	918.880
638	919.080	-4.432	918.908
