Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
881	244.000	143.631	243.873
882	244.050	148.564	243.924
883	244.100	153.026	243.977
884	244.150	145.927	244.023
885	244.200	147.569	244.076
886	244.250	167.965	244.125
887	244.300	201.235	244.171
888	244.350	225.300	244.222
889	244.400	201.871	244.275
890	244.450	170.049	244.325
891	244.500	152.626	244.370
892	244.550	128.176	244.419
893	244.600	119.090	244.472
894	244.650	130.089	244.522
895	244.700	141.785	244.572
896	244.750	128.926	244.622
897	244.800	82.198	244.673
898	244.850	24.013	244.724
899	244.900	-20.827	244.772
900	244.950	-41.131	244.822
901	245.000	-56.591	244.874
902	245.050	-74.623	244.921
903	245.100	-68.191	244.968
904	245.150	-55.341	245.023
905	245.200	-60.643	245.070
906	245.250	-96.197	245.121
907	245.300	-154.748	245.174
908	245.350	-203.594	245.222
909	245.400	-215.752	245.275
910	245.450	-193.727	245.319
911	245.500	-161.884	245.374
912	245.550	-145.265	245.421
913	245.600	-138.918	245.474
914	245.650	-145.620	245.520
915	245.700	-165.255	245.572
916	245.750	-176.985	245.629
917	245.800	-163.657	245.671
918	245.850	-127.257	245.722
919	245.900	-58.254	245.775
920	245.950	-28.931	245.823
921	246.000	-64.318	245.871
922	246.050	-104.643	245.922
923	246.100	-90.909	245.974
924	246.150	-34.671	246.025
925	246.200	0.202	246.078
926	246.250	2.233	246.119
927	246.300	0.709	246.172
928	246.350	2.856	246.223
929	246.400	16.270	246.274
930	246.450	40.257	246.319
931	246.500	54.990	246.373
932	246.550	65.703	246.425
933	246.600	80.817	246.474
934	246.650	82.670	246.526
935	246.700	81.389	246.572
936	246.750	79.840	246.619
937	246.800	81.723	246.672
938	246.850	100.995	246.725
939	246.900	146.374	246.773
940	246.950	188.629	246.822
941	247.000	195.447	246.873
942	247.050	182.217	246.924
943	247.100	179.809	246.974
944	247.150	188.144	247.024
945	247.200	187.223	247.073
946	247.250	194.544	247.122
947	247.300	217.670	247.174
948	247.350	238.862	247.224
949	247.400	225.506	247.273
950	247.450	135.165	247.323
951	247.500	49.800	247.374
952	247.550	27.503	247.425
953	247.600	14.310	247.471
954	247.650	3.180	247.522
