#Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
587	917.550	-3.327	917.381
588	917.580	-3.574	917.412
589	917.610	-3.924	917.439
590	917.640	-4.166	917.472
591	917.670	-4.329	917.504
592	917.700	-4.374	917.531
593	917.730	-4.297	917.561
594	917.760	-4.326	917.590
595	917.790	-4.253	917.621
596	917.820	-4.389	917.649
597	917.850	-4.640	917.678
598	917.880	-4.958	917.709
599	917.910	-5.192	917.744
600	917.940	-5.345	917.772
601	917.970	-5.354	917.800
602	918.000	-5.284	917.831
603	918.030	-5.067	917.860
604	918.060	-5.008	917.891
605	918.090	-4.989	917.923
606	918.120	-5.163	917.952
607	918.150	-5.317	917.984
608	918.180	-5.271	918.013
609	918.210	-5.188	918.040
610	918.240	-4.995	918.074
611	918.270	-4.664	918.098
612	918.300	-4.469	918.134
613	918.330	-4.315	918.162
614	918.360	-4.219	918.189
615	918.390	-4.142	918.224
616	918.420	-4.200	918.248
617	918.450	-4.226	918.282
618	918.480	-4.085	918.309
619	918.510	-3.973	918.342
620	918.540	-3.744	918.374
621	918.570	-3.602	918.404
622	918.600	-3.478	918.429
623	918.630	-3.239	918.461
624	918.660	-2.898	918.492
625	918.690	-2.364	918.521
626	918.720	-1.626	918.550
627	918.750	-0.950	918.581
628	918.780	-0.404	918.610
629	918.810	-0.215	918.645
630	918.840	-0.187	918.670
631	918.870	-0.271	918.699
632	918.900	-0.206	918.730
633	918.930	0.059	918.760
634	918.960	0.500	918.793
635	918.990	1.054	918.820
636	919.020	1.788	918.853
637	919.050	2.555	918.884
638	919.080	3.256	918.911
639	919.110	3.924	918.939
640	919.140	4.680	918.970
641	919.170	5.456	919.001
642	919.200	6.222	919.029
643	919.230	6.843	919.059
644	919.260	7.126	919.091
645	919.290	7.126	919.122
646	919.320	6.924	919.151
647	919.350	6.865	919.183
648	919.380	6.971	919.214
649	919.410	7.241	919.242
650	919.440	7.597	919.272
651	919.470	7.937	919.301
652	919.500	8.135	919.333
653	919.530	8.354	919.359
654	919.560	8.456	919.390
655	919.590	8.350	919.422
656	919.620	8.058	919.453
657	919.650	7.774	919.487
658	919.680	7.481	919.508
659	919.710	7.166	919.538
660	919.740	6.601	919.568
661	919.770	6.020	919.602
662	919.800	5.340	919.631
663	919.830	4.696	919.663
664	919.860	4.185	919.694
665	919.890	3.896	919.722
666	919.920	3.583	919.754
667	919.950	3.199	919.777
668	919.980	2.647	919.812
669	920.010	1.992	919.843
670	920.040	1.115	919.875
671	920.070	0.103	919.899
672	920.100	-0.842	919.932
673	920.130	-1.734	919.962
674	920.160	-2.414	919.989
675	920.190	-2.959	920.021
676	920.220	-3.504	920.049
677	920.250	-4.082	920.081
678	920.280	-4.760	920.111
679	920.310	-5.353	920.142
680	920.340	-5.963	920.172
681	920.370	-6.428	920.201
682	920.400	-6.696	920.232
683	920.430	-6.874	920.260
684	920.460	-7.246	920.291
685	920.490	-7.660	920.321
686	920.520	-8.078	920.351
687	920.550	-8.450	920.380
688	920.580	-8.709	920.413
689	920.610	-8.815	920.440
690	920.640	-8.680	920.471
691	920.670	-8.444	920.503
692	920.700	-8.114	920.531
693	920.730	-7.831	920.561
694	920.760	-7.670	920.597
695	920.790	-7.545	920.619
696	920.820	-7.388	920.650
697	920.850	-7.220	920.681
698	920.880	-6.781	920.710
699	920.910	-6.225	920.741
700	920.940	-5.678	920.772
701	920.970	-5.286	920.797
702	921.000	-4.979	920.829
703	921.030	-4.628	920.863
704	921.060	-4.184	920.892
705	921.090	-3.581	920.923
706	921.120	-2.967	920.954
707	921.150	-2.270	920.985
708	921.180	-1.758	921.011
709	921.210	-1.304	921.044
710	921.240	-1.040	921.069
